datetime,port,bench,excess
2017-01-04,1.0014074189370505,1.007803175154687,0.9936537645690044
2017-01-05,1.0025141791224463,1.0076476066105484,0.9949055329914696
2017-01-06,0.999479224999943,1.0016276157371429,0.997855100335249
2017-01-09,1.004158914461997,1.0064836818832894,0.997690208531804
2017-01-10,0.9997030416666589,1.0047992089630478,0.9949281734590057
2017-01-11,0.9902253334295409,0.99768715355064,0.9925208818269902
2017-01-12,0.9840533003662457,0.9926366091974451,0.991353020076361
2017-01-13,0.9804424923697681,0.9933218399096622,0.9870340638628611
2017-01-16,0.9717246110709788,0.9931841487782119,0.978393193514383
2017-01-17,0.97833288676282,0.9952516890824883,0.9830004786675967
2017-01-18,0.9772870436467169,0.9991442678459869,0.9781240558519232
2017-01-19,0.9727956780544798,0.9961283132717212,0.9765766770140215
2017-01-20,0.9836767412911138,1.003787908264896,0.9799647248106969
2017-01-23,0.9895108030021627,1.0065375244438564,0.9830838681835519
2017-01-24,0.98851146707001,1.0066482241875223,0.9819830237795824
2017-01-25,0.9920920157572664,1.0100740973186053,0.9821972649243504
2017-01-26,0.9959653653139003,1.0136824602741104,0.9825220464449793
2017-02-03,0.9893858200328558,1.0066602125701485,0.9828398973937902
2017-02-06,0.9932598824461984,1.0092692632101283,0.9841376515192688
2017-02-07,0.9927881722968857,1.007016288566399,0.9858710167540898
2017-02-08,0.9973193601645821,1.012285217784394,0.9852157698671449
2017-02-09,1.0026708660137715,1.0161747819253608,0.9867110302757137
2017-02-10,1.0090159642477685,1.0213210931245644,0.9879517529211598
2017-02-13,1.0162311982129266,1.0281398888613835,0.9884172467409613
2017-02-14,1.0194857470815832,1.0279962385923704,0.9917212814684608
2017-02-15,1.0118288701495617,1.0237805343579685,0.9883259509169102
2017-02-16,1.0181109677054927,1.029531172213537,0.988907373748101
2017-02-17,1.0068272270882845,1.0236997004096169,0.9835181417806598
2017-02-20,1.0217377944119916,1.0386448668795267,0.9837219890968795
2017-02-21,1.0271320875152312,1.0420647107655463,0.9856701574325984
2017-02-22,1.0304151422836003,1.0441411547224164,0.9868542558860587
2017-02-23,1.0241877792205965,1.0392222722556084,0.9855329380091327
2017-02-24,1.0252620279823774,1.0393808554222788,0.986416117473931
2017-02-27,1.016271076922942,1.0311139191502072,0.9856050413522708
2017-02-28,1.0210848850168612,1.033085692608475,0.9883835313203181
2017-03-01,1.0234154564421698,1.0347701655287167,0.9890268298557436
2017-03-02,1.0163524181791594,1.0277868274876647,0.9888747267403147
2017-03-03,1.0135005998576272,1.0256205758223487,0.9881827878160463
2017-03-06,1.0206470092116544,1.031191738476027,0.9897742302707386
2017-03-07,1.021233677424542,1.033429780222099,0.9881984213819193
2017-03-08,1.0177544418379159,1.031864910698117,0.9863252750297957
2017-03-09,1.0099537040638988,1.0253453337744496,0.9849888333193151
2017-03-10,1.009993250466784,1.025629549582443,0.9847544377772413
2017-03-13,1.0194405049905986,1.034668439545145,0.9852823049659841
2017-03-14,1.0160432595018167,1.034246602713202,0.9823994169633902
2017-03-15,1.0184118063850136,1.0363260612926037,0.9827136886963493
2017-03-16,1.0243659988304041,1.0416727397289176,0.9833856256015518
2017-03-17,1.013004073588683,1.0309913011314153,0.9825534633289407
2017-03-20,1.0144100935082008,1.03212823447089,0.9828333918490543
2017-03-21,1.0172855700426715,1.0371368545386432,0.9808595322699217
2017-03-22,1.0133256730336488,1.0322598963572767,0.9816575037057581
2017-03-23,1.0162162961217933,1.035829349649872,0.9810653622291082
2017-03-24,1.0232543424043261,1.044093271299412,0.9800411232713423
2017-03-27,1.0184824433600406,1.0406345177504825,0.9787129160021256
2017-03-28,1.0164423104788105,1.0381721320020474,0.9790691535118243
2017-03-29,1.0184789906384986,1.036789822409988,0.9823389163592227
2017-03-30,1.0108343058051574,1.0282834690228948,0.9830307850477086
2017-03-31,1.0113333078160605,1.034055069021184,0.9780265462780124
2017-04-05,1.0331374365515649,1.0483689174469446,0.9854712585980969
2017-04-06,1.041203843969753,1.0514087786789619,0.9902940369947921
2017-04-07,1.0432916956771374,1.052429053137208,0.9913178399695135
2017-04-10,1.046108344836384,1.0487428708558832,0.997487919972844
2017-04-11,1.0590280243423926,1.0523901434742982,1.0063074335209758
2017-04-12,1.0481135657715719,1.0500294837094344,0.9981753674848308
