datetime,port,bench,excess
2017-01-04,1.0022252862999705,1.0116932748592655,0.9906414436128261
2017-01-05,1.0028022287171492,1.0124226247677133,0.990497648101482
2017-01-06,0.9997959276268803,1.0080465253170263,0.9918152610192756
2017-01-09,1.0064356838670767,1.0149760939857742,0.9915856046567958
2017-01-10,1.003188940917811,1.0115761589542032,0.9917087626451545
2017-01-11,0.9910483942412237,1.0017720016150526,0.9892953612633011
2017-01-12,0.981077993320662,0.9924202258646864,0.9885711392730414
2017-01-13,0.9652046018142288,0.9800498676992322,0.9848525402897568
2017-01-16,0.9334649739855235,0.9541953962355685,0.9782744474225832
2017-01-17,0.9466841536491748,0.962237156506235,0.9838366220303411
2017-01-18,0.9427378953818428,0.9601045004448243,0.9819117553819033
2017-01-19,0.9375771554113792,0.9561635092898672,0.9805615318950084
2017-01-20,0.9540869279583466,0.9685544167177481,0.9850628023478235
2017-01-23,0.9624788739115071,0.9764917926915951,0.9856497321483236
2017-01-24,0.9613895239035067,0.9753985868212665,0.9856376017896294
2017-01-25,0.9622262070260748,0.9776625050191199,0.9842110156482443
2017-01-26,0.9685168759729659,0.984645903820964,0.9836194638240928
2017-02-03,0.9660455958511552,0.9820164172226941,0.9837367063407076
2017-02-06,0.9744317508731283,0.9902685840716859,0.9840075374971088
2017-02-07,0.9737689673084433,0.9897433866182161,0.9838600393538828
2017-02-08,0.9815519180807987,0.9953866905852141,0.986101107604441
2017-02-09,0.988193075321344,1.0016485571327944,0.9865666638107417
2017-02-10,0.9938486819962901,1.0025867500887307,0.9912844767880014
2017-02-13,1.0007854579402429,1.0077348615035557,0.9931039365325278
2017-02-14,1.003579877889907,1.0085639051163127,0.9950582930827463
2017-02-15,0.9893093831188036,0.9985666889457406,0.9907294065289614
2017-02-16,0.9976343129034695,1.0061037265715147,0.9915819676993879
2017-02-17,0.988837698167358,0.9978483582069999,0.9909699104422711
2017-02-20,1.0041740978278655,1.0101728528012408,0.9940616549368352
2017-02-21,1.0125116985095932,1.0179852207619922,0.9946231810238838
2017-02-22,1.0206667251543704,1.0242803681802417,0.9964720176837017
2017-02-23,1.016072793542443,1.024242396717062,0.9920237599997769
2017-02-24,1.0147565463940091,1.024587266947353,0.9904051896109997
2017-02-27,1.0033764500723765,1.0163730715615409,0.9872127451495772
2017-02-28,1.0095669267807723,1.0206004122211827,0.9891892210621416
